                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7927,                 3.8123,                 4.0668,                 0.0035,                0.09994,                0.01513,                0.00405,                 2.4025,                 4.4178,                 4.1453,             0.00034441,             0.00034441,             0.00034441
                      2,                 2.0217,                 2.4796,                 3.0668,                 0.6096,                0.06589,                0.01143,                0.00372,                 2.2626,                 4.2313,                 3.7349,               0.000693,               0.000693,               0.000693
                      3,                 1.6904,                 2.1999,                 2.5311,                0.16711,                0.84101,                 0.1815,                0.09412,                 1.7173,                 7.1566,                 2.8519,              0.0010346,              0.0010346,              0.0010346
                      4,                 1.5038,                 2.0881,                  2.196,                0.18136,                0.89734,                0.20138,                0.12283,                 1.6547,                  4.338,                 2.6608,               0.001078,               0.001078,               0.001078
                      5,                 1.4048,                 1.9666,                 2.0518,                0.19462,                0.88016,                0.21831,                 0.1392,                 1.3713,                 2.3675,                 2.2286,               0.001067,               0.001067,               0.001067
                      6,                   1.32,                 1.8482,                 1.9161,                0.18795,                0.93321,                 0.2339,                0.13859,                 1.4028,                 2.0316,                 2.1516,               0.001056,               0.001056,               0.001056
                      7,                 1.3558,                 1.8387,                 1.9365,                0.19578,                0.91298,                0.23112,                0.14714,                  1.385,                 1.9585,                 2.1692,               0.001045,               0.001045,               0.001045
                      8,                 1.2742,                 1.7819,                 1.8556,                0.19982,                0.93568,                0.26861,                0.16842,                  1.326,                  1.787,                 2.0842,               0.001034,               0.001034,               0.001034
                      9,                 1.2548,                 1.6965,                 1.8199,                 0.2413,                0.82664,                0.33382,                0.21533,                 1.3858,                 1.6498,                 2.1274,               0.001023,               0.001023,               0.001023
                     10,                 1.2188,                 1.6164,                 1.7777,                0.24479,                0.77684,                0.35786,                0.23001,                 1.2594,                 1.7692,                 1.9926,               0.001012,               0.001012,               0.001012
                     11,                 1.2131,                  1.575,                 1.7703,                0.24617,                0.83848,                0.36447,                0.23703,                 1.3026,                 1.6752,                 2.0639,               0.001001,               0.001001,               0.001001
                     12,                 1.1944,                  1.555,                 1.7609,                0.27559,                0.86876,                0.35745,                0.22318,                 1.4634,                 1.6654,                 2.1936,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.1992,                 1.5363,                 1.7378,                0.30266,                0.88092,                0.36949,                0.24298,                 1.2949,                 1.5201,                 2.0259,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.1683,                 1.5042,                 1.7244,                0.27473,                0.75872,                0.38553,                0.23889,                  1.501,                 1.4555,                 2.1971,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.1845,                 1.4835,                 1.7297,                0.28101,                0.79347,                0.40006,                0.26604,                 1.2375,                  1.427,                  1.963,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.1779,                 1.4661,                 1.7075,                0.27272,                0.75152,                0.40085,                0.26593,                 1.2327,                 1.4766,                 1.9474,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.1235,                 1.4339,                  1.666,                0.27835,                0.78511,                 0.3719,                0.24146,                 1.2731,                 1.5531,                 1.9958,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.1448,                 1.4271,                 1.6775,                0.32731,                0.78055,                0.40309,                0.26691,                 1.2999,                 1.4197,                 2.0099,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.1017,                 1.4261,                 1.6411,                0.26632,                0.90817,                0.39749,                 0.2664,                 1.2534,                 1.5301,                 1.9423,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.0932,                 1.4133,                 1.6234,                0.29288,                0.73225,                0.41409,                0.28115,                 1.2571,                 1.3966,                 2.0176,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.0897,                 1.3813,                 1.6212,                0.29714,                0.87398,                0.43973,                0.29049,                 1.2539,                 1.2974,                 1.9061,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.1316,                 1.3958,                 1.6685,                  0.294,                0.73284,                0.41638,                0.27913,                 1.2207,                 1.4661,                 1.9024,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.0795,                 1.3782,                 1.6177,                0.33271,                0.73551,                0.46377,                0.31998,                 1.1376,                 1.2565,                 1.8015,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.0652,                  1.347,                 1.6059,                0.34879,                0.78206,                0.48572,                0.33075,                 1.2053,                 1.3165,                 1.9013,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.0563,                 1.3239,                 1.5908,                0.34821,                 0.7619,                0.47828,                0.32253,                 1.1529,                 1.3269,                 1.8227,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.0527,                 1.3028,                  1.589,                0.33799,                0.77295,                0.49227,                0.33895,                 1.1685,                 1.2487,                 1.8853,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.0505,                 1.3024,                 1.5835,                0.38171,                0.73545,                0.48949,                0.34229,                 1.1474,                 1.3124,                 1.8084,             0.00082503,             0.00082503,             0.00082503
