                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78613,                0.73498,                 1.3187,                0.66504,                0.69534,                0.71491,                0.53046,                0.99011,                0.89993,                 1.6398,             0.00034441,             0.00034441,             0.00034441
                      2,                0.82764,                0.79293,                 1.3483,                0.56552,                0.65298,                0.63171,                0.45831,                0.99997,                 1.1609,                 1.6366,               0.000693,               0.000693,               0.000693
                      3,                0.85438,                0.83576,                 1.3705,                0.58901,                0.64436,                0.64172,                0.45905,                 1.1149,                 1.3828,                 1.7433,              0.0010346,              0.0010346,              0.0010346
                      4,                0.88203,                0.86812,                 1.3958,                0.57431,                0.64008,                0.63346,                0.45346,                 1.0769,                 1.5558,                 1.7698,               0.001078,               0.001078,               0.001078
                      5,                0.88754,                0.89016,                 1.4067,                0.53429,                0.62931,                0.62754,                0.44654,                 1.1367,                 1.2425,                 1.7979,               0.001067,               0.001067,               0.001067
                      6,                0.92396,                0.89064,                 1.4343,                0.53875,                0.69414,                0.63274,                0.43591,                 1.1282,                 1.1535,                  1.793,               0.001056,               0.001056,               0.001056
                      7,                 0.9006,                0.89094,                 1.4209,                0.58229,                0.68049,                 0.6459,                0.46551,                 1.0393,                  1.179,                 1.6863,               0.001045,               0.001045,               0.001045
                      8,                0.88914,                0.87534,                 1.4054,                0.62113,                0.62755,                0.65605,                0.47444,                 1.0578,                 1.0333,                 1.7319,               0.001034,               0.001034,               0.001034
                      9,                0.89071,                0.88517,                 1.4049,                0.56782,                0.66436,                0.64041,                0.45219,                 1.1051,                 1.5479,                 1.7594,               0.001023,               0.001023,               0.001023
                     10,                0.88382,                0.85687,                 1.3931,                0.62803,                0.62364,                0.66887,                0.46753,                 1.1573,                 1.0569,                 1.8202,               0.001012,               0.001012,               0.001012
                     11,                0.87676,                0.84749,                 1.3955,                0.59047,                0.69472,                 0.6819,                0.48243,                 1.1256,                 1.1631,                 1.7803,               0.001001,               0.001001,               0.001001
                     12,                0.87342,                0.86273,                 1.3941,                0.58524,                0.68529,                0.67384,                0.47959,                 1.0659,                 1.1431,                 1.7196,             0.00099001,             0.00099001,             0.00099001
                     13,                0.89254,                0.84647,                 1.4048,                0.58074,                 0.6803,                0.66537,                0.47586,                 1.1416,                 1.1717,                 1.7623,             0.00097901,             0.00097901,             0.00097901
                     14,                0.86408,                0.85172,                 1.3847,                0.62656,                0.67741,                0.67682,                0.48939,                 1.0271,                 1.1531,                 1.6573,             0.00096801,             0.00096801,             0.00096801
                     15,                0.89283,                0.85745,                 1.4049,                0.57221,                0.66446,                0.65934,                0.47832,                 1.0844,                 1.1903,                 1.7581,             0.00095702,             0.00095702,             0.00095702
                     16,                 0.8951,                0.84961,                 1.4061,                  0.628,                0.66376,                0.68549,                0.49949,                 1.0368,                 0.9974,                 1.6732,             0.00094602,             0.00094602,             0.00094602
                     17,                0.86468,                0.79781,                 1.3834,                0.61318,                0.67323,                0.67439,                0.47176,                  1.125,                 1.2148,                 1.7856,             0.00093502,             0.00093502,             0.00093502
                     18,                0.88772,                0.81439,                 1.3936,                0.63191,                0.68067,                0.68817,                 0.4969,                 1.1141,                 1.2147,                 1.7752,             0.00092402,             0.00092402,             0.00092402
                     19,                0.85262,                0.81124,                 1.3724,                0.64768,                0.71608,                0.70957,                0.50833,                 1.0907,                 1.0099,                 1.7167,             0.00091302,             0.00091302,             0.00091302
                     20,                0.84113,                0.77948,                 1.3558,                0.65499,                0.68086,                0.71102,                0.51428,                  1.085,                  1.013,                 1.7742,             0.00090202,             0.00090202,             0.00090202
                     21,                0.85608,                0.81223,                  1.372,                 0.6005,                0.70476,                0.68346,                 0.4856,                 1.1401,                 1.0372,                 1.7894,             0.00089102,             0.00089102,             0.00089102
                     22,                0.88881,                 0.8201,                 1.4028,                0.65957,                0.65696,                0.70111,                 0.4946,                 1.1224,                 1.0905,                 1.7309,             0.00088002,             0.00088002,             0.00088002
                     23,                0.84711,                 0.7895,                 1.3649,                0.63783,                0.71352,                0.71046,                0.52189,                 1.0093,                0.93945,                 1.6308,             0.00086902,             0.00086902,             0.00086902
                     24,                0.83769,                 0.7768,                 1.3642,                0.55315,                0.68078,                0.65602,                0.47441,                 1.1191,                 1.3208,                 1.7841,             0.00085803,             0.00085803,             0.00085803
                     25,                0.82498,                 0.7568,                 1.3418,                0.67466,                0.69684,                0.72401,                0.52072,                 1.1138,                0.97081,                 1.7688,             0.00084703,             0.00084703,             0.00084703
                     26,                0.82175,                 0.7412,                 1.3498,                0.65462,                 0.7253,                0.71547,                0.52488,                 1.0355,                0.94678,                 1.6416,             0.00083603,             0.00083603,             0.00083603
                     27,                0.82181,                0.76556,                 1.3448,                  0.608,                0.74003,                0.71375,                0.52282,                 1.0104,                 1.0481,                 1.6601,             0.00082503,             0.00082503,             0.00082503
                     28,                0.79781,                0.73789,                 1.3248,                0.59425,                0.73265,                 0.6901,                0.49211,                 1.0273,                 1.2308,                 1.6889,             0.00081403,             0.00081403,             0.00081403
                     29,                0.82036,                0.73788,                 1.3334,                0.66583,                0.71457,                0.71693,                0.52499,                 1.0635,                 1.1606,                 1.7129,             0.00080303,             0.00080303,             0.00080303
                     30,                0.81354,                0.73903,                 1.3304,                0.67151,                0.71078,                0.72532,                0.53017,                 1.1381,                0.94881,                 1.7451,             0.00079203,             0.00079203,             0.00079203
                     31,                0.81647,                0.72723,                 1.3315,                0.59564,                0.73511,                0.69544,                0.50345,                 1.0681,                  1.031,                 1.7106,             0.00078103,             0.00078103,             0.00078103
